completed,name,address,category,distance,rating,price,id
False,Caracas Arepa Bar,91 E 7th St (btw 1st & Ave A),Arepas,0.7821267492,9.4,2,41229c00f964a520350c1fe3
False,Flex Mussels,154 W 13th St (btwn 6th & 7th Ave),Seafood,1.05433207827,9.4,2,4c780397bd346dcb56abf0ef
False,Mile End Delicatessen,53 Bond St (btwn Bowery & Lafayette St),Sandwiches,0.381898659468,9.1,2,4f4e44777716223249fe88b3
False,Ngam,99 3rd Ave (at 13th St),Thai,0.660844382494,9.1,2,4de987f018386283a3cd6d3c
False,Siggy's Good Food,292 Elizabeth St (btwn E Houston & Bleecker St),American,0.48689381068,9.3,2,4ff63931e4b002d4d300f75d
False,Great Jones Cafe,54 Great Jones St (Btw Bowery & Lafayette),Cajun / Creole,0.334003120656,9.0,2,3fd66200f964a520afe91ee3
False,Pommes Frites,123 2nd Ave (btwn E 7th St & St. Mark's Pl),Belgian,0.545776389412,9.2,1,4356de00f964a520d2281fe3
False,Lil' Frankie's,19 1st Ave (btw 1st & 2nd),Italian,0.7981373358,9.1,2,3fd66200f964a520d0e41ee3
False,Cafe Habana,17 Prince St (at Elizabeth St),Cuban,0.687951592643,9.3,2,3fd66200f964a52004e61ee3
False,Saigon Shack,114 Macdougal St (at Bleecker St),Vietnamese,0.542154983847,9.2,1,4ce08a08ffcf370469b12082
False,Il Buco Alimentari e Vineria,53 Great Jones St (btwn Lafayette St & Bowery),Italian,0.312566902795,9.4,2,4e652e06fa76cd64cf66f973
False,Frank Restaurant,88 2nd Ave (at E 5th St),Italian,0.505958789686,9.2,2,3fd66200f964a5204de41ee3
False,Punjabi Grocery & Deli,114 E 1st St (btwn 1st Ave & Ave A),Indian,0.944985505204,9.3,1,43a7557bf964a5206b2c1fe3
False,Calexico Cart,Wooster St (at Prince St),Food Truck,1.24314534784,9.4,1,4ade0324f964a520586721e3
False,Jane,100 W Houston St (btwn Thompson St & LaGuardia Pl),American,0.53582530668,9.1,2,3fd66200f964a52044e61ee3
False,Cocoron,61 Delancey St (btwn Eldridge & Allen St),Japanese,1.13231891974,9.4,2,4cf9655334c1a09374cb390e
False,Taqueria Lower East Side,198 Orchard St (at E Houston St),Mexican,0.921674231361,9.3,1,4db9684dced7cef042e4c7d3
False,Cata,245 Bowery (at Stanton),Tapas,0.709350585451,9.1,2,504a7d20e4b01681208e669d
False,Mamoun's Falafel,119 Macdougal St (btwn Minetta Ln & W 3rd St),Falafel,0.52311096817,9.3,1,3fd66200f964a5202ee61ee3
False,Jack's Wife Freda,224 Lafayette St (btwn Kenmare & Spring St),Mediterranean,0.835389578746,9.4,2,4f0f47650cd695a0e54cb438
False,Ruby's Cafe,219 Mulberry St (btwn Prince & Spring),Australian,0.777970073287,9.3,2,40c10d00f964a520dd001fe3
False,Saigon Vietnamese Sandwich Deli,369 Broome St (btwn Mott & Elizabeth St.),Sandwiches,0.990776694048,9.1,1,49e9549df964a520f2651fe3
False,Dos Toros Taquería,11 Carmine St (btwn Bleecker St & 6th Ave),Burritos,0.686330003087,8.8,1,4dd43f99813009ae10057cd8
False,La Lanterna di Vittorio,129 Macdougal St (btwn 3rd & 4th St.),Italian,0.513822289846,9.0,2,3fd66200f964a520cee91ee3
False,Cuba,222 Thompson St (btwn Bleecker & W 3rd St.),Cuban,0.39830792509,9.0,2,425f0400f964a52007211fe3
False,The Meatball Shop,84 Stanton St (btwn Allen & Orchard St),Italian,0.950378596188,9.4,2,4b709d01f964a5204c252de3
False,Joe's Pizza,7 Carmine St (at 6th Ave),Pizza,0.668966718232,9.1,1,45ebc982f964a52091431fe3
False,Cocoron,37 Kenmare St (btwn Elizabeth & Mott St),Japanese,0.925626676674,9.3,2,504b98a2e4b05828d117682e
False,Ootoya,8 W 18th St (btwn Avenue Of The Americas & 5th Ave),Japanese,1.10415943857,9.5,2,4f7b61f6e4b07aaa5d524842
False,The Wren,344 Bowery (at Great Jones St),Gastropub,0.374612217923,9.0,2,4ee535472c5b5fc6cd1fd9d9
False,Dorado Tacos,28 E 12th St (at University Pl.),Tacos,0.578420744197,8.7,1,4f04f2cd0e61b14c27df405b
False,Alta,64 W 10th St (at 6th Ave),Tapas,0.681400206776,9.4,2,41abb800f964a520581e1fe3
False,Bite,335 Lafayette St (btwn Bleecker &  W Houston St),Sandwiches,0.373368665276,9.0,1,455da1c3f964a520793d1fe3
False,Katz's Delicatessen,205 E Houston St (at Ludlow St),Sandwiches,0.94896811334,9.4,2,4acbe67af964a52044c820e3
